No,Komentar,Status
1,dapet mas barang pagi malam dasar anak,Negativ
2,flash sale akalan rajin mantengin jam pagi malem sampe nyalain alarm tetep zonk server stock habis coba ku kasar wkwkwkekwk,Negativ
3,lihat review orang orang pas beli hp harga flash sale,Positiv
4,nyobain cuma iseng pembayaran mau jam langsung dibilang stock habis halaman flashsale masih aneh bin ajaib,Positiv
5,pemberi harapan palsu doang kena tipu kayak keledai,Negativ
6,bukalapak wkwkw tokopedia ketinggalan ulang tahunnya pelit parah kalah diskonan bukalapak,Positiv
7,dapet namanya juga flash sale bawa santai dapet syukur dapet rejeki namanya harga gilaan wajar banyak stand,Positiv
8,stock tersedia pas bayar tulisan stock habis kaya lapak sebelah sudah check out barang sudah otomatis bayar kok,Negativ
9,ga pernah kebagian astagaaahhh,Positiv
10,beneran lihat kepala mata walaubsaya mengakui kalo sedih bete kena marah,Positiv
11,boicot,Negativ
12,teflon frame,Positiv
13,koneksi indomie calon anak ayam kornet stabil bagus,Positiv
14,lom beruntung kemarin marah hikz,Positiv
15,norak kali ikutan flash salekesal wkwk,Positiv
16,barang,Negativ
17,nature republic,Negativ
18,tokopedia bagus ternyata,Positiv
19,dapet nature republic bayar pake cc,Positiv
20,amazing,Positiv
21,beli miband pas mo bayar lamgsung stock habis menjengkelkan pas jam,Negativ
22,amazing,Positiv
23,flassalee,Negativ
24,kecewaaaastok tpi dibayar notif stok kosongperbaiki sistemnya,Negativ
25,pagi berhasil powerbank mili mah thank you pagi experience flash sale drpd semalam well see semoga membatalkan orderan thanks again,Positiv
26,pembodohan umat barang sediain cuman rebutan indonesia,Negativ
27,dapet apa,Negativ
28,sale kampret,Negativ
29,banget giliran bayar error terusphp,Negativ
30,boongan lgs beli tebar pesona kosong kosong bayar data error server error data not_found cape,Negativ
31,udahhhh dongggkucing kucing,Positiv
32,dpt maen cepetan wkt dl dpt rice cooker kl skrg brg tmn ku dpt blender drone namanya barang diserbu ribuan org cepetan faktor hoki toko sblh jg flash sale dis,Positiv
33,klikpay bca,Positiv
34,bayare pke ecash gimana sihaku bingung kra transfer kya order,Negativ
35,server error trs pdhl klik secepat kilat eh pas klik checkout server error stock kosong,Negativ
36,dapet coba ngaku,Positiv
37,beli xiaomi mukena bali kesalahan jaringan aduuh aneh deh,Negativ
38,hahaha error canggih servernya hahah,Negativ
39,dpet mah error bae serverny,Negativ
40,sabar gt jam barusan dpt pas masuk keranjang server bermasalah gt gt qty pdhl bisanya pas cekout error sekalinya paymentzonkkkstok habis ilang flashsale hahaha fakesale kali yee flashsale,Negativ
41,flash toped bener yakesal kakak lelaki masuk keranjang ribet suru masukin alamatujungnya stok kosong,Negativ
42,dapet hahahahaa,Positiv
43,error lg error lg error lg malam parah drpd kemarin malam klik beli muncul keranjang belanja kosong flow screen jg lari kemana kesalahan server jam lapar lapar tembus tinggal klik bayar lgsg stok habis produk dibilang habis dihapus keranjang belanja jg muncul error main aman goblok really heres my input better do some stress test first before do another flash sale if u are wise youll take this input happy customer will be your repeat customer unhappy customer will be new customer to your competitor,Negativ
44,bnget mbaaa kayak pake hp nyoba eh error perphpan,Negativ
45,terimakasih tokopedia pengalaman mengecewakannya tinggal bayar tebar pesona error trs kali mengatasi error sokan bikin flashsale yatahunbersamakecewabadexperience,Negativ
46,niat flashsale ngadain flashsale kalah lazadashopee prettt,Negativ
47,tipu tipu detik langsung habis,Negativ
48,pake selangkah selingkuh banking,Positiv
49,ka bayarnya,Negativ
50,pakai,Negativ
51,dapet tebar pesona bayarnya pake briva,Positiv
52,berhasil pake briva,Positiv
53,jualan tebar pesona isi ulang tokocash coba gugling deh isi tokocash tokopedia pake,Positiv
54,hmm bagus promo bayar langsung back pacman,Negativ
55,bayar tiba uangnya refund penipuan gimana,Negativ
56,isi klik bca kl jualan jd penjualan uang msk tokocash,Positiv
57,pake kartu kredit ka,Positiv
58,ka bayar pake ka toko caash kah,Positiv
59,bayar pakai toko bayar langsung gimana ka penjelasan,Positiv
60,tokopedia pengalaman mengecewakannya tinggal bayar error kali kalo ngatasin error gausah sok bikin giniantahunbersamamengecewakan,Negativ
61,pemberi harapan palsu,Negativ
62,dapet pagi lumayan,Positiv
63,beneran dpt,Negativ
64,menit min belinyakan rebutan bayarnya mah rebutan,Positiv
65,virtual account bayarnya ambil tendili moneynya ko pembayaran menit ajah buru atmnya,Positiv
66,zonk,Negativ
67,jelasgitu pembayaran loading xpadahal signalnya bagusstock kosong melulupadahal br berjalan menit,Negativ
68,transfer ambil tendili moneynya pengen dpt biar emak seneng,Positiv
69,mayanlah kang sedia payung hujan,Positiv
70,gimn ikiutan tolong bantu jelasin,Negativ
71,ak beli helm berhasil bayar via klik bca nunggu proses seller mudah an dana kembalikan saldo toko bayar langsung,Positiv
72,min server downtolong masak klik produk,Negativ
73,terustahunbersama,Positiv
74,berhasil beli payung harga rebu,Positiv
75,mesti byk belajar collocation server amazon google anak bule tokped semangat,Positiv
76,berdoa weh hoki haha,Negativ
77,bayar lemot pas bayar duitnya tokocash,Negativ
78,bakar,Positiv
79,br buka aplikasi jam teng barang gag stock omong kosong,Positiv
80,dy jg dapet hp rb sampe,Negativ
81,semoga smpe berhasil tangan angin semilir,Positiv
82,susah dapet lucky dibatalin,Positiv
83,skrg sma dpt,Negativ
84,hokian coeg flash sale bayar duit balikin haha like you belanja supermarket bayar struk print barang ambil orang,Positiv
85,flashsale ngelanjutin kemaren yaa engga,Positiv
86,check out tinggal bayar dapet no va tebar pesona pas proses loading lg bayar dana kembalikan check out barangnya keep cm dikasih menit bayar menit loading kiciwa banget deh,Negativ
87,kayanya toko laen flash sale prnh brmslh flash sale brmslh aneh auto uninstal ajh cem ginimah mnding shopee lazada ajh deh,Positiv
88,kali dapet susu enfagrow harga bayar menit lari ambil tendili moneynya,Positiv
89,gagal tinggal bayar tetiba oops stok,Positiv
90,iyaa virtual account,Positiv
91,jam pagi teng kakak lelaki hitungan menit produk kosong,Negativ
92,belum beruntung,Positiv
93,kayaknya emang mayoritas bayar error deh,Positiv
94,ka gigi tajam ngerasain fs tolong jelasin temen tokped fake ngadain flash sale,Positiv
95,ng worth it wasting time ng hadilnya zonk flashsale tong kosong ng barangnya zonk bikin kecewa check out ng eror coba sehabis makan pulang barang hbs pembayaran eror coba sehabis makan pulang berkali barang habis pemberi harapan palsu flash sale zonk palsu bikin kecewa buang cari sensasi doang bikin kecewa customer goodbye deh pindah online,Negativ
96,tokopedia pake jasa aws bos,Negativ
97,zonk mulu,Positiv
98,amazon menginvest tokopedianya alibaba group,Negativ
99,blackmores vitamin ribu,Negativ
100,keranjang belanja msh titik merah terisi barangtp dibuka kosong,Positiv
101,ntar dijadiin iklan ngebully tokopedia pdhal tokopedia kakak lelaki bagus pas kmaren dpt bayar gagal internal server error,Negativ
102,minjgn lupa perbaiki server pelanggan kecewa kabur,Negativ
103,diproses penjual,Negativ
104,gimmick,Negativ
105,error stiap dapet,Negativ
106,tinggal bayar pdahal tebar pesona kgk bsa server error blablabla pas cek flash sale dah ilang bijiii kgk niat ngadain flash sale kya,Positiv
107,parahh,Positiv
108,ngomong bos tokopedia invest server amazon web services server down pengunjung servernya diurusin dapet flash sale nyebar kebohongan kaya gini,Positiv
109,flashsale bohongan niecuma mentok check out,Negativ
110,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Negativ
111,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Positiv
112,min senin gunain voucher ilovemonday cashbacknya masuk skrg min,Negativ
113,gmbarnya kere tulen gift yasin cantik acaramu berkesan kepoin yaa,Negativ
114,hahahahahaha,Negativ
115,subhanallaah sore,Negativ
116,flashsale bikintiap bayar server down trskan aneh,Negativ
117,min tambahin hashtagnyaflashsalephp,Positiv
118,barang masuk keranjang pas bayar maaf stok kosong padahl berpa detik,Negativ
119,fs ngk load pilih barang,Negativ
120,juragan,Negativ
121,habishuft,Negativ
122,awesomee yaa met siang,Negativ
123,mimin servernya benerin min please,Positiv
124,marah,Negativ
125,laporin ylki,Negativ
126,barakallah tokepedia sukses,Positiv
127,deh dm beserta transaksinya penasaran,Positiv
128,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
129,pembohongan,Negativ
130,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
131,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
132,wkwkwk percaya flash salekamvret,Positiv
133,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
134,pagi dapet tas pas cek taunya dibatalin toped,Positiv
135,barusan cek tas dibatalin topednya,Negativ
136,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
137,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
138,awesomee yaa,Negativ
139,gmbarnya kagum,Positiv
140,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
141,met aktivitas pagi yaah,Negativ
142,anjir wkwkwk,Negativ
143,q gakk dpt susah,Positiv
144,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
145,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
146,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
147,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
148,pake kesal kesal,Positiv
149,via transfer ambil tendili moneynya,Positiv
150,ok,Negativ
151,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
152,input resi susaaaaahhhh truussss,Negativ
153,benerinnn server dolo njerr,Positiv
154,tahun tukang tipu mulu,Negativ
155,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
156,sekian comment respon akun heraann maluin,Positiv
157,eror melanda,Negativ
158,tokocash transfer biasakesal,Positiv
159,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
160,erorrrrrrr,Positiv
161,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
162,pindah shoppe ah enak ciuman upsciuman,Negativ
163,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
164,dapettahunbersama,Positiv
165,xiaomi redmi flash sale pagi proses pengiriman,Positiv
166,kitkat harga ribuan bayar yaaah lumayan,Positiv
167,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
168,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
169,kalo niat kasih promo disiapin bener sistemnya,Positiv
170,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
171,ngincer blender gagal mulu langsung home cari produk nyisa dapet deh tas,Negativ
172,lapar lngsng masukin barang krnjang pas check out gagal hahaha mending sale jelassssss,Positiv
173,beli brg trs dibalikin dana tokocash dibatalin penjual cek riwayat transaksi pindahkan saldo tokopedia sampe hitungan menit pindah saldo tunggu hr semoga membantu,Negativ
174,protes smua trick pintar pintar dpt dpt barusan vacum cleaner pas rb dpt flash sale tokped rame pengunjung harga fantastis tebar pesona stock disediakan banya,Negativ
175,kemajuan min berusaha tingkatin pelayanannya min tokped,Negativ
176,uang ku toko bayar langsung taun syaratnya dipindahkan rekening kalo pembatalan,Negativ
177,berhasil dapet,Negativ
178,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Positiv
179,dapet jbl temen dapet angin semilir,Positiv
180,flash sale jd program tokopedia hoaxbayar pake toko bayar langsung cpet,Positiv
181,saldo tokopedia,Negativ
182,kacau,Negativ
183,sandisk normal rb,Positiv
184,ny berita bohong,Negativ
